WL,DC,DC_std,AC,AC_std,CD,CD_std,I_L,I_L_std,I_R,I_R_std,gabs,gabs_std,m_ellip,m_ellip_std,ellip,ellip_std
380.0,0.010140035301446915,0.0,2.191034940447234e-05,4.568424937439818e-07,2.191034940447234e-05,1.9562893408724544e-05,0.010161945650851387,4.568424937439818e-07,0.010118124952042442,4.568424937439818e-07,0.0021607764424001444,4.5053343520292626e-05,3.094329442916056,0.06451842246197355,0.030945170917603806,0.0006452233504065528
381.0,0.011355576105415821,0.0,2.5712813411932283e-05,5.896513623835613e-07,2.5712813411932283e-05,2.2547178137321442e-05,0.011381288918827753,5.896513623835613e-07,0.011329863292003889,5.896513623835613e-07,0.0022643336782947592,5.192615125025128e-05,3.2426280812054347,0.07436059349688612,0.03242824723296472,0.0007436510293251358
382.0,0.01268178503960371,0.0,3.025807620531538e-05,4.526455305303796e-07,3.025807620531538e-05,1.549829456692441e-05,0.012712043115809025,4.526455305303796e-07,0.012651526963398396,4.526455305303796e-07,0.00238594772824354,3.569257238762692e-05,3.4167848926388165,0.051113375481716704,0.034169920960889465,0.0005111647514063009
383.0,0.014074744656682014,0.0,3.5246438858313724e-05,5.013261279929019e-07,3.5246438858313724e-05,1.546628031015527e-05,0.014109991095540328,5.013261279929019e-07,0.014039498217823701,5.013261279929019e-07,0.002504232916337875,3.561884355428759e-05,3.586174623570261,0.051007792462892075,0.03586392099290308,0.000510108857189541
384.0,0.01557664293795824,0.0,4.085553111664058e-05,4.291670643626754e-07,4.085553111664058e-05,1.1963509058239515e-05,0.015617498469074882,4.291670643626754e-07,0.0155357874068416,4.291670643626754e-07,0.002622871390155641,2.7551961361125602e-05,3.7560702756115085,0.03945565287407392,0.037562980542819514,0.0003945804557588557
385.0,0.017221815884113312,0.0,4.6723093231849466e-05,3.611785120589966e-07,4.6723093231849466e-05,9.106448264076854e-06,0.01726853897734516,3.611785120589966e-07,0.017175092790881464,3.611785120589966e-07,0.0027130178110282978,2.0972150352168993e-05,3.8851640211773018,0.030033066374925466,0.038853996284557234,0.0003003488766457828
386.0,0.018957054242491722,0.0,5.399273233672949e-05,3.3095153039452886e-07,5.399273233672949e-05,7.580530561788498e-06,0.01901104697482845,3.3095153039452886e-07,0.018903061510154993,3.3095153039452886e-07,0.0028481604602737403,1.7457961883798908e-05,4.078694397734606,0.025000589792778465,0.04078941741239623,0.0002500210589889082
387.0,0.02070876583456993,0.0,6.0872404230576e-05,5.997420484957761e-07,6.0872404230576e-05,1.2575241767691803e-05,0.020769638238800507,5.997420484957761e-07,0.020647893430339355,5.997420484957761e-07,0.002939451086407061,2.896078179099422e-05,4.2094266969042495,0.04147314734984757,0.042096819683837466,0.00041475662398201104
388.0,0.022534934803843498,0.0,6.860850557948583e-05,5.616506844708106e-07,6.860850557948583e-05,1.0822212282910823e-05,0.022603543309422984,5.616506844708106e-07,0.022466326298264012,5.616506844708106e-07,0.003044539785745648,2.4923554887543623e-05,4.359918460003972,0.03569165610903989,0.043601828577274404,0.00035693820551496475
389.0,0.02435133047401905,0.0,7.717971844129075e-05,4.5058819519604935e-07,7.717971844129075e-05,8.034579957521856e-06,0.02442851019246034,4.5058819519604935e-07,0.02427415075557776,4.5058819519604935e-07,0.003169425117187557,1.8503637642172836e-05,4.538759894261643,0.026498044699907082,0.04539035137432914,0.00026499651615898587
390.0,0.026077086105942726,0.0,8.605445093298396e-05,6.606111297560845e-07,8.605445093298396e-05,1.1000005119166228e-05,0.02616314055687571,6.606111297560845e-07,0.025991031655009742,6.606111297560845e-07,0.0033000025609982915,2.5333011789439823e-05,4.725752690478664,0.03627801688301022,0.047260392734192636,0.00036280216884034054
391.0,0.02797684818506241,0.0,9.433700392847904e-05,5.745339674418642e-07,9.433700392847904e-05,8.91708663052576e-06,0.028071185188990887,5.745339674418642e-07,0.02788251118113393,5.745339674418642e-07,0.0033719668242989612,2.0536050510100827e-05,4.828808765322612,0.02940855170747396,0.04829101597873571,0.0002941033512480006
392.0,0.029863309115171432,0.0,0.00010289313800131652,7.689437429441334e-07,0.00010289313800131652,1.1180537940542702e-05,0.029966202253172747,7.689437429441334e-07,0.029760415977170118,7.689437429441334e-07,0.0034454700784999005,2.5748778877069843e-05,4.934068744634248,0.03687341412790983,0.04934367960446536,0.00036875650235497937
