WL,DC,DC_std,AC,AC_std,CD,CD_std,I_L,I_L_std,I_R,I_R_std,gabs,gabs_std,m_ellip,m_ellip_std,ellip,ellip_std
400.0,0.1259826421737671,0.0,-2.2372777745003443e-06,8.81806390469358e-07,-2.2372777745003443e-06,3.039265159034909e-06,0.12598040489599258,8.81806390469358e-07,0.1259848794515416,8.81806390469358e-07,-1.7758619250217668e-05,6.999427661257396e-06,-0.025431144718722477,0.01002349649449713,-0.0002543268693489705,0.00010024104347528936
400.5,0.12762370705604553,0.0,-1.0744842181879121e-06,2.0216969520035444e-06,-1.0744842181879121e-06,6.878452824606312e-06,0.12762263257182735,2.0216969520035444e-06,0.12762478154026372,2.0216969520035444e-06,-8.419158500983331e-06,1.5841076855068336e-05,-0.012056615169884077,0.02268513741555162,-0.00012057346316953204,0.0002268651310611654
401.0,0.12912066280841827,0.0,-2.5124107262372133e-06,1.0529181061344978e-06,-2.5124107262372133e-06,3.5408286388896624e-06,0.12911815039769203,1.0529181061344978e-06,0.12912317521914451,1.0529181061344978e-06,-1.9457851838671104e-05,8.154528355362893e-06,-0.027864522520163828,0.011677652851058106,-0.00027866212303215385,0.00011678361016785885
401.5,0.1310649961233139,0.0,-1.0440770777319779e-07,2.8860972739661206e-06,-1.0440770777319779e-07,9.561594191743187e-06,0.13106489171560612,2.8860972739661206e-06,0.1310651005310217,2.8860972739661206e-06,-7.966101618388229e-07,2.2020351423584564e-05,-0.0011407817254643672,0.031534137644369034,-1.1408509056781613e-05,0.0003153604996320738
402.0,0.13308843970298767,0.0,-9.601519893355584e-07,2.8781298632735756e-06,-9.601519893355584e-07,9.390227500987865e-06,0.13308747955099834,2.8781298632735756e-06,0.133089399854977,2.8781298632735756e-06,-7.214390607315867e-06,2.162569393477505e-05,-0.01033133314065468,0.030968970298257976,-0.0001033195966176691,0.00030970848343758175
402.5,0.13445402681827545,0.0,-1.3183904110673122e-06,2.1988207687961512e-06,-1.3183904110673122e-06,7.10104195885169e-06,0.1344527084278644,2.1988207687961512e-06,0.13445534520868652,2.1988207687961512e-06,-9.805510792541858e-06,1.635369963123544e-05,-0.014041934256970496,0.023419236380292873,-0.00014042785799375405,0.00023420656588684643
403.0,0.13617514073848724,0.0,-1.3175493301827157e-08,2.7835367063114854e-06,-1.3175493301827157e-08,8.875752469148882e-06,0.13617512756299394,2.7835367063114854e-06,0.13617515391398055,2.7835367063114854e-06,-9.675402742655921e-08,2.0440857936449874e-05,-0.00013855613654050904,0.029272231643253013,-1.3856453897450177e-06,0.0002927400679374684
403.5,0.13818597793579102,0.0,-1.6335413938595665e-06,2.304165947220559e-06,-1.6335413938595665e-06,7.240287966718855e-06,0.13818434439439717,2.304165947220559e-06,0.13818761147718486,2.304165947220559e-06,-1.1821325276712242e-05,1.6674383187353525e-05,-0.016928671629438546,0.023878469714238786,-0.00016929698231720502,0.00023879917771832128
404.0,0.1397320181131363,0.0,-4.24126500498802e-07,1.2033023333051505e-06,-4.24126500498802e-07,3.739253332416259e-06,0.1397315939866358,1.2033023333051505e-06,0.1397324422396368,1.2033023333051505e-06,-3.0352850135993967e-06,8.611500424554645e-06,-0.0043466652083590145,0.012332057490308823,-4.346928802368011e-05,0.00012332805340975307
404.5,0.1410461962223053,0.0,-2.0555223275249477e-06,2.940348104779892e-06,-2.0555223275249477e-06,9.051976810612394e-06,0.14104414069997778,2.940348104779892e-06,0.1410482517446328,2.940348104779892e-06,-1.4573397812764862e-05,2.0846702594840343e-05,-0.02086976378050305,0.029853419521399676,-0.00020871029381702594,0.000298552299167618
405.0,0.1428958922624588,0.0,-3.420750530307736e-07,3.424419964273738e-06,-3.420750530307736e-07,1.040574880393483e-05,0.14289555018740577,3.424419964273738e-06,0.14289623433751183,3.424419964273738e-06,-2.3938760423041397e-06,2.396443949546191e-05,-0.0034281385964042787,0.03431815955537707,-3.428346488374952e-05,0.0003432024070513786
405.5,0.14435601234436035,0.0,-1.4997177924938045e-06,3.2214368519988557e-06,-1.4997177924938045e-06,9.689933751622445e-06,0.14435451262656787,3.2214368519988557e-06,0.14435751206215283,3.2214368519988557e-06,-1.0389022030590851e-05,2.2315917429986485e-05,-0.014877548700342436,0.03195740151285082,-0.00014878450916758467,0.0003195933949960115
406.0,0.14610114693641663,0.0,-1.7389880962295934e-06,2.163778167306178e-06,-1.7389880962295934e-06,6.430802488731984e-06,0.1460994079483204,2.163778167306178e-06,0.14610288592451284,2.163778167306178e-06,-1.1902631380343665e-05,1.4810138131549758e-05,-0.01704510564149953,0.021208786607838082,-0.000170461393046676,0.0002121007276833583
406.5,0.14790193736553192,0.0,-2.521781362836227e-06,2.3250053496831604e-06,-2.521781362836227e-06,6.825840811654582e-06,0.14789941558416908,2.3250053496831604e-06,0.14790445914689476,2.3250053496831604e-06,-1.7050360581848066e-05,1.57199113892405e-05,-0.024416886321725974,0.02251162299683681,-0.00024418367030417407,0.00022512988164999142
407.0,0.14919596910476685,0.0,-2.1770778736116785e-06,3.334562545837328e-06,-2.1770778736116785e-06,9.704827941022086e-06,0.14919379202689323,3.334562545837328e-06,0.14919814618264046,3.334562545837328e-06,-1.4592068986012038e-05,2.235021874817386e-05,-0.020896501743754972,0.03200652254949084,-0.00020897768966419847,0.0003200846351507904
407.5,0.150815948843956,0.0,-6.830704646605698e-07,2.664624929063135e-06,-6.830704646605698e-07,7.671757700322107e-06,0.15081526577349133,2.664624929063135e-06,0.15081663191442066,2.664624929063135e-06,-4.529165979437089e-06,1.766805798384181e-05,-0.006485970212845645,0.025301456895662308,-6.486363540329747e-05,0.0002530299124720237
408.0,0.15225878357887268,0.0,-9.620590501346496e-07,3.0094896648833693e-06,-9.620590501346496e-07,8.582554352187596e-06,0.15225782151982253,3.0094896648833693e-06,0.15225974563792283,3.0094896648833693e-06,-6.318578327773691e-06,1.976562267308803e-05,-0.009048489502821378,0.028305264253514692,-9.049038228685709e-05,0.00028306980764385126
