WL,DC,DC_std,AC,AC_std,CD,CD_std,I_L,I_L_std,I_R,I_R_std,gabs,gabs_std,m_ellip,m_ellip_std,ellip,ellip_std
400.0,0.0012112671975046396,0.0,-1.244485440942304e-07,5.466551443313858e-07,-4.4612434781101955e-05,0.00019596546630366298,0.0012111427489605454,5.466551443313858e-07,0.0012113916460487339,5.466551443313858e-07,-0.00010274243730087779,0.0004513084688973358,-0.14713180990807426,0.6462941078694805,-0.0014714073239503046,0.0064633330096274125
401.0,0.001202695188112557,0.0,-6.541619580299555e-08,5.192134843036041e-07,-2.361760056661235e-05,0.0001874547507777889,0.001202629771916754,5.192134843036041e-07,0.0012027606043083598,5.192134843036041e-07,-5.439133410490824e-05,0.0004317082910412479,-0.07789084666868752,0.6182257680651478,-0.0007789557018880084,0.006182632590153034
402.0,0.0012443786254152656,0.0,-3.200653128084775e-08,5.679727398600277e-07,-1.1168430069720818e-05,0.0001981896685702468,0.0012443466188839848,5.679727398600277e-07,0.0012444106319465464,5.679727398600277e-07,-2.5720894450567047e-05,0.0004564308067172784,-0.03683348236993926,0.653629526944674,-0.000368357160559532,0.00653669164878388
403.0,0.0012389520416036248,0.0,-2.2090086997796656e-07,4.270784257898917e-07,-7.741925585864372e-05,0.00014967842327299273,0.0012387311407336468,4.270784257898917e-07,0.0012391729424736028,4.270784257898917e-07,-0.00017829654624245647,0.00034470940879770224,-0.255328705821807,0.49363943995433,-0.0025534418967297873,0.004936693756389846
