WL,DC,DC_std,AC,AC_std,CD,CD_std,I_L,I_L_std,I_R,I_R_std,gabs,gabs_std,m_ellip,m_ellip_std,ellip,ellip_std
400.0,0.05068497359752655,0.0,1.5552754881758711e-06,6.35786574628991e-07,1.5552754881758711e-06,5.4467593861503474e-06,0.050686528873014725,6.35786574628991e-07,0.050683418322038376,6.35786574628991e-07,3.068513955488712e-05,1.2543886866304252e-05,0.04394250553713318,0.017963412455523846,0.0004394517033431554,0.00017964501807401075
400.5,0.051543015986680984,0.0,7.711844160399259e-07,1.63342744551609e-06,7.711844160399259e-07,1.3760559207040015e-05,0.051543787171097026,1.63342744551609e-06,0.05154224480226494,1.63342744551609e-06,1.496195752765427e-05,3.1690567853813155e-05,0.02142619883899426,0.04538232426481797,0.00021427498183981464,0.0004538507637665938
401.0,0.05264041945338249,0.0,1.6868464282715018e-06,7.787976357270888e-07,1.6868464282715018e-06,6.424085985148753e-06,0.05264210629981076,7.787976357270888e-07,0.052638732606954224,7.787976357270888e-07,3.204469960132719e-05,1.4794670023797576e-05,0.04588945691931266,0.021186635579020587,0.0004589223978510522,0.00021187920396217616
401.5,0.0536106638610363,0.0,1.064483949662114e-06,6.537115817923174e-07,1.064483949662114e-06,5.2946963242557405e-06,0.05361172834498596,6.537115817923174e-07,0.05360959937708664,6.537115817923174e-07,1.985582481167092e-05,1.219368563476097e-05,0.028434437789357662,0.017461908477395434,0.00028436162133674785,0.00017462967416660282
402.0,0.054662495851516724,0.0,1.1940839967429122e-06,1.405416919074727e-06,1.1940839967429122e-06,1.116405023750294e-05,0.05466368993551347,1.405416919074727e-06,0.05466130176751998,1.405416919074727e-06,2.184466658797432e-05,2.571080769696927e-05,0.031282549026113465,0.03681903768328469,0.0003128444608791008,0.0003682127049333219
402.5,0.055469345301389694,0.0,1.1032772005073522e-06,1.195285642901604e-06,1.1032772005073522e-06,9.356743520101097e-06,0.0554704485785902,1.195285642901604e-06,0.055468242024189186,1.195285642901604e-06,1.988985437835538e-05,2.1548580326792824e-05,0.028483169665573616,0.030858540129293417,0.0002848489696512884,0.00030860411477997435
403.0,0.05630476400256157,0.0,1.065391183975455e-06,1.5346969757509504e-06,1.065391183975455e-06,1.1835416801317746e-05,0.056305829393745545,1.5346969757509504e-06,0.056303698611377594,1.5346969757509504e-06,1.892186572217913e-05,2.7256964893434772e-05,0.027096966197024216,0.03903320461074593,0.0002709860943330057,0.0003903557169410619
403.5,0.05722088739275932,0.0,-5.542001854077494e-07,1.5017862643355304e-06,-5.542001854077494e-07,1.1396187899672878e-05,0.05722033319257391,1.5017862643355304e-06,0.05722144159294473,1.5017862643355304e-06,-9.685277713429474e-06,2.6245420732946638e-05,-0.01386975505813739,0.03758462769312115,-0.000138705961591112,0.00037586906930701084
404.0,0.058225274085998535,0.0,-3.799753474849968e-06,7.518204685728262e-07,-3.799753474849968e-06,5.606717390484335e-06,0.058221474332523684,7.518204685728262e-07,0.058229073839473386,7.518204685728262e-07,-6.525952062050829e-05,1.2912270150285423e-05,-0.09345458054990721,0.018490953953817335,-0.0009346024789863675,0.00018492075297295434
404.5,0.05882459133863449,0.0,-6.135282785929731e-06,1.1616629189836606e-06,-6.135282785929731e-06,8.574864575965987e-06,0.05881845605584856,1.1616629189836606e-06,0.05883072662142042,1.1616629189836606e-06,-0.00010429792449574119,1.9747913118449663e-05,-0.1493593378145699,0.028279903371535825,-0.0014936839538508622,0.00028281618344451015
