WL,DC,DC_std,AC,AC_std,CD,CD_std,I_L,I_L_std,I_R,I_R_std,gabs,gabs_std,m_ellip,m_ellip_std,ellip,ellip_std
400.0,0.044838640838861465,0.0,0.0001720727607598341,9.318515669175249e-07,0.0001720727607598341,9.024026504010778e-06,0.0450107135996213,9.318515669175249e-07,0.04466656807810163,9.318515669175249e-07,0.0038375998366725543,2.0782333038736825e-05,5.495616266324831,0.029761239410227548,0.05495949535958932,0.0002976304421552835
401.0,0.04672447592020035,0.0,0.0001818462736025341,7.664136255314716e-07,0.0001818462736025341,7.1223750715106665e-06,0.046906322193802884,7.664136255314716e-07,0.04654262964659781,7.664136255314716e-07,0.003891884713979567,1.6402829789689065e-05,5.5733546620515035,0.02348959298584218,0.05573692645960663,0.0002349101746085648
402.0,0.04856891930103302,0.0,0.00019187972793729925,1.0152293746984685e-06,0.00019187972793729925,9.076361752449928e-06,0.04876079902897032,1.0152293746984685e-06,0.04837703957309572,1.0152293746984685e-06,0.0039506690842350724,2.0902861115892186e-05,5.65753653487072,0.02993384105957986,0.05657879623805521,0.0002993565633193035
403.0,0.0502270832657814,0.0,0.00020239679785661447,5.789185615766166e-07,0.00020239679785661447,5.00478675145911e-06,0.05042948006363802,5.789185615766166e-07,0.05002468646792479,5.789185615766166e-07,0.00402963470495813,1.152602388861033e-05,5.770618869714248,0.016505786706312146,0.05770968816280028,0.00016506787663662437
404.0,0.05182502418756485,0.0,0.0002124803010904353,7.754607840420863e-07,0.0002124803010904353,6.497202286932336e-06,0.05203750448865529,7.754607840420863e-07,0.05161254388647441,7.754607840420863e-07,0.004099955656970419,1.496305686680517e-05,5.871321648583779,0.021427773142302844,0.0587167770204943,0.0002142907258276023
405.0,0.053784023970365524,0.0,0.00022256912598550782,8.722518640149852e-07,0.00022256912598550782,7.041978202701353e-06,0.05400659309635103,8.722518640149852e-07,0.05356145484438002,8.722518640149852e-07,0.004138201450083788,1.6217675800821215e-05,5.926091351444348,0.02322444411250906,0.05926450726298892,0.000232258525081496
406.0,0.05535353720188141,0.0,0.0002321797315442065,1.1850657625529901e-06,0.0002321797315442065,9.296150259039064e-06,0.055585716933425615,1.1850657625529901e-06,0.0551213574703372,1.1850657625529901e-06,0.004194487710828983,2.1409034046566965e-05,6.0066958186339505,0.030658703554310836,0.060070600815701924,0.0003066056278436264
407.0,0.05723267421126366,0.0,0.00024212942469089652,9.312728073970602e-07,0.00024212942469089652,7.065435647098662e-06,0.05747480363595455,9.312728073970602e-07,0.05699054478657276,9.312728073970602e-07,0.004230615256542465,1.6271698295268218e-05,6.058432095561029,0.023301806764131388,0.06058799495930681,0.00023303219851260806
408.0,0.05921350046992302,0.0,0.00025200368731118805,7.227145198429027e-07,0.00025200368731118805,5.299710010102232e-06,0.05946550415723421,7.227145198429027e-07,0.05896149678261183,7.227145198429027e-07,0.004255848502643263,1.2205232153265442e-05,6.094567243472636,0.01747844361331716,0.060949368351793355,0.00017479503555319182
409.0,0.06072142720222473,0.0,0.0002584867932146735,1.0810825861207135e-06,0.0002584867932146735,7.730773747683396e-06,0.06097991399543941,1.0810825861207135e-06,0.060462940409010055,1.0810825861207135e-06,0.004256928816146189,1.780397194091486e-05,6.096114301194151,0.025496091819859838,0.06096483986718784,0.00025497637974609375
